ID,발표자 (기관),논문명,저자 리스트,기관명,요약문 (50단어 정도),Presentation (10min),Discussion (15min),Poster
1,"Hyunwook Lee, Sungbeom Cho","Treadstone: A Communication Channel for Human-AI Collaborative Data Analysis","Hyunwook Lee, Sungbeom Cho, William Benjamin, Changhee Lee, Hyotaek Jeon, Daeun Jeong, Sungbok Shin, Sungahn Ko, Niklas Elmqvist","Soongsil University, POSTECH, Sogang University, Aarhus University","AI 에이전트와 사람이 소셜미디어 피드처럼 소통하며 데이터를 분석하는 플랫폼 Treadstone",TRUE,FALSE,TRUE
2,"Sungbeom Cho","Swarm Interaction for VA","Sungbeom Cho et al.","POSTECH","",FALSE,TRUE,TRUE
3,"Duc","Vis Guideline","Duc et al.","POSTECH","",FALSE,TRUE,TRUE
4,"Yoonjae Oh (KAIST)","Supporting Chart Caption Understanding with Visual Annotation","Yoonjae Oh, Seon Gyeom Kim, Ryan Rossi, Tak Yeon Lee","KAIST, Adobe Research","본 연구는 차트–캡션 이해를 돕기 위해 인간이 생성한 시각적 주석 드로잉의 특성을 분석하고, 이를 MLLM의 차트 주석 생성 과정에서 시각적 가이드라인으로 활용할 수 있는 가능성을 탐구한 연구입니다.",FALSE,FALSE,FALSE
5,"Jaeeun Seo (Seoul National University)","When Users Don’t Specify","Ju et al.","Seoul National University (GSDS)","LLM에게 충분한 프롬프트가 주어지지 않은 unspecified context에서 시각화를 수행할 때, 모델의 시각화 경향성을 expertise/literacy/language의 기준에 따라 empirical하게 분석한 논문입니다.",TRUE,FALSE,FALSE
6,"Suemin Jeon (Korea University)","ESVR: 3D Ellipsoid-based Sparse Volume Rendering via Structure-aware Primitive Learning and Per-primitive Ray Sampling","Suemin Jeon*, Youjin Kim*, Jungwoo Park, Kyungryun Lee, Won-Ki Jeong","Korea University","구조 기반 학습과 per-primitive ray 샘플링을 통한 3D 타원체 기반 sparse 볼륨 렌더링 연구",TRUE,FALSE,FALSE
7,"Haejin Jeong (Korea University)","Automatic Transfer Function Design via MLLM-Assisted 2D Semantic Decomposition","Haejin Jeong, Won-Ki Jeong","Korea University","본 연구는 MLLM 기반 2차원 의미 분해를 활용하여 최소한의 사용자 입력만으로 전이 함수를 자동 설계하는 프레임워크를 제안한다. 단일 최대강도투사 영상에서 생성한 의미 정보를 3차원으로 확장하고, 신뢰도 기반 복셀 분류를 통해 정밀한 의미 분할과 전이 함수 생성을 수행한다.",TRUE,FALSE,FALSE
8,"Suemin Jeon (Korea University)","Super-Gaussian: Interactive Scene Editing for 3D Gaussian Splatting and NLI-Based Volume Visualization in Virtual Reality","Suemin Jeon, Kaiyuan Tang, Chaoli Wang, Won-Ki Jeong","Korea University, University of Notre Dame","가상현실에서 3D 가우시안 스플래팅을 위한 인터랙티브 장면 편집과 자연어 상호작용 기반 볼륨 시각화",TRUE,FALSE,FALSE
9,"Myeongwon Jung (Sungkyunkwan University)","GPU-Accelerated Progressive Uniform Manifold Approximation and Projection","Myeongwon Jung, Jaemin Jo","Sungkyunkwan University","GPUMAP은 연산 비용이 높은 UMAP을 GPU 기반 점진적 알고리즘으로 재구성한 차원축소 기법이다. 전체 연산이 끝나고 결과를 확인할 수 있는 기존 UMAP과 달리 최종 결과를 모사한 중간 시각화 결과를 지속적으로 제공하여, 대규모 데이터를 더 빠르게 탐색하고 분석할 수 있도록 지원한다.",FALSE,FALSE,TRUE
10,"Seunghoon Jung (Sungkyunkwan University)","ProGram: A Grammar for Progressive Computational Pipeline","Seunghoon Jung, Jaemin Jo","Sungkyunkwan University","대용량 데이터를 효과적으로 시각화 하여 분석하기 위한 방법론인 점진적 시각화 (Progressive Visual Analytics, PVA) 는 그 데이터를 점진적으로 처리하고 시각화가 갱신되는 구조로 인해 시스템 개발에 여러 어려움이 있다. 이러한 어려움을 해결하고자 개발된 PVA 시스템들을 조사하고, 이를 추상화하여 Grammar를 만들어 PVA 개발에 도움을 주고자 하였다. 이 문법은 이미 구현된 PVA 시스템을 재개발하고 확장하는 방식으로 그 표현력을 평가하였다.",FALSE,FALSE,TRUE
11,"Jiwon Jang (Seoul National University)","Great Grave: Modeling Versioned Context Units for Longitudinal LLM Interaction","Jang et al.","Seoul National University (GSDS)","LLM 채팅 로그를 Context Unit·Work Unit·타입 엣지로 재구조화하여 연구자의 회고적 센스메이킹을 지원하는 오버레이 시스템 Great Grave 제안",TRUE,FALSE,FALSE
12,"Hyeon Jeon","Visualization Autocomplete: Visualization Authoring via Stepwise Design Recommendations","Hyeon Jeon, Sungbok Shin, Niklas Elmqvist","Seoul National University, Sogang University, Aarhus University","",TRUE,FALSE,FALSE
13,"Yumin Song (Seoul National University)","TailVis: Expressive Chart Refinement Preserving Data-Binding Integrity","Yumin Song, Seokhyeon Park, Soohyun Lee, Aeri Cho, John Joon Young Chung, Hyeon Jeon, Jinwook Seo","Seoul National University, Midjourney","발표·논문용 정적 차트는 세밀한 시각적 다듬기가 필요하지만, 기존 도구는 이를 제대로 지원하지 못해 외부 그래픽 편집기로 내보내면서 데이터-시각 연결이 끊긴다. 저자들은 렌더링 이후의 디자인 정제 단계를 포함하도록 InfoVis 참조 모델을 확장하고, 형성 연구(인터뷰 18명·설문 35명)를 근거로 TailVis를 제안한다. TailVis는 요소 단위 직접 선택과 데이터 기반 스코프 확장, 자연어와 동적 위젯의 결합, 지시적(deictic) 상호작용, 프로버넌스 히스토리를 통해 데이터 바인딩을 유지한 채 표현력 있는 정제를 지원한다. 12명 사용자 연구로 효과를 검증했다.",TRUE,FALSE,FALSE
